Freq.	V(vo)/V(vi)
2.48908429123561e+04	2.09139558156808e+01
2.54648190254673e+04	2.09139868743363e+01
2.60520308726830e+04	2.09140162529486e+01
2.66527836664558e+04	2.09140440125849e+01
2.72673896573551e+04	2.09140702109519e+01
2.78961682963641e+04	2.09140949025036e+01
2.85394464009194e+04	2.09141181385519e+01
2.91975583247793e+04	2.09141399673916e+01
2.98708461318096e+04	2.09141604344066e+01
3.05596597737763e+04	2.09141795821358e+01
3.12643572722386e+04	2.09141974503902e+01
3.19853049046361e+04	2.09142140762960e+01
3.27228773946672e+04	2.09142294944312e+01
3.34774581070578e+04	2.09142437368281e+01
3.42494392468204e+04	2.09142568331016e+01
3.50392220631095e+04	2.09142688104731e+01
3.58472170577765e+04	2.09142796938395e+01
3.66738441987346e+04	2.09142895058324e+01
3.75195331382437e+04	2.09142982668319e+01
3.83847234362286e+04	2.09143059950853e+01
3.92698647887475e+04	2.09143127066294e+01
4.01754172617278e+04	2.09143184154048e+01
4.11018515300933e+04	2.09143231333265e+01
4.20496491224042e+04	2.09143268701499e+01
4.30193026711391e+04	2.09143296336851e+01
4.40113161687487e+04	2.09143314296377e+01
4.50262052296132e+04	2.09143322617794e+01
4.60644973580415e+04	2.09143321318371e+01
4.71267322224488e+04	2.09143310395163e+01
4.82134619358588e+04	2.09143289825641e+01
4.93252513428717e+04	2.09143259566959e+01
5.04626783132522e+04	2.09143219556280e+01
5.16263340422852e+04	2.09143169710523e+01
5.28168233580594e+04	2.09143109925933e+01
5.40347650358357e+04	2.09143040078280e+01
5.52807921196656e+04	2.09142960022393e+01
5.65555522514249e+04	2.09142869592075e+01
5.78597080074367e+04	2.09142768598835e+01
5.91939372428546e+04	2.09142656833418e+01
6.05589334439892e+04	2.09142534062923e+01
6.19554060887581e+04	2.09142400032596e+01
6.33840810154477e+04	2.09142254463467e+01
6.48457007999796e+04	2.09142097053429e+01
6.63410251418753e+04	2.09141927474832e+01
6.78708312591220e+04	2.09141745375402e+01
6.94359142921439e+04	2.09141550376575e+01
7.10370877170883e+04	2.09141342073418e+01
7.26751837686429e+04	2.09141120032462e+01
7.43510538726025e+04	2.09140883792685e+01
7.60655690884105e+04	2.09140632862751e+01
7.78196205619059e+04	2.09140366721292e+01
7.96141199885100e+04	2.09140084815152e+01
8.14500000870941e+04	2.09139786558332e+01
8.33282150847748e+04	2.09139471331208e+01
8.52497412128882e+04	2.09139138478764e+01
8.72155772144011e+04	2.09138787308998e+01
8.92267448630237e+04	2.09138417092352e+01
9.12842894942914e+04	2.09138027059245e+01
9.33892805488952e+04	2.09137616399588e+01
9.55428121285389e+04	2.09137184259757e+01
9.77460035646166e+04	2.09136729742067e+01
1.00000000000002e+05	2.09136251901775e+01
1.02305972984252e+05	2.09135749746369e+01
1.04665121082544e+05	2.09135222232441e+01
1.07078670498641e+05	2.09134668264005e+01
1.09547875712235e+05	2.09134086690100e+01
1.12074020130980e+05	2.09133476302785e+01
1.14658416757564e+05	2.09132835833725e+01
1.17302408872163e+05	2.09132163952776e+01
1.20007370730631e+05	2.09131459264116e+01
1.22774708278789e+05	2.09130720304167e+01
1.25605859883190e+05	2.09129945538271e+01
1.28502297078733e+05	2.09129133356867e+01
1.31465525333510e+05	2.09128282073683e+01
1.34497084831304e+05	2.09127389920690e+01
